fan_source_mechanism,mechanism,alpha,sigma_scale,outlier_mult,n_sims,n_seasons,tpi_mean,tpi_q05,tpi_q95,tpi_se,tpi_ci95_low,tpi_ci95_high,fan_mean,fan_q05,fan_q95,fan_se,fan_ci95_low,fan_ci95_high,robust_fail_mean,robust_fail_q05,robust_fail_q95,robust_fail_se,robust_fail_ci95_low,robust_fail_ci95_high,robust_fail_worst_mean,robust_fail_worst_q05,robust_fail_worst_q95,robust_fail_worst_se_between
percent,dynamic_weight,0.5,2.0,2.0,100,34,0.7860698690320146,0.7139189397947733,0.8394954563492063,0.006929241382465839,0.7724885559223815,0.7996511821416477,0.6388235294117647,0.5165000000000001,0.75,0.014962152104430011,0.6094977112870819,0.6681493475364475,0.6938235294117648,0.55,0.8434999999999999,0.016962490769667087,0.6605770475032173,0.7270700113203123,0.731764705882353,0.613,0.857,0.01440730768870266
percent,dynamic_weight,0.5,2.0,5.0,100,34,0.7860698690320146,0.7139189397947733,0.8394954563492063,0.006929241382465839,0.7724885559223815,0.7996511821416477,0.6388235294117647,0.5165000000000001,0.75,0.014962152104430011,0.6094977112870819,0.6681493475364475,0.7332352941176472,0.586,0.8734999999999999,0.017936984840995915,0.6980788038292952,0.7683917844059992,0.8588235294117647,0.6525000000000001,1.0,0.021572597268762178
percent,dynamic_weight,0.5,2.0,10.0,100,34,0.7860698690320146,0.7139189397947733,0.8394954563492063,0.006929241382465839,0.7724885559223815,0.7996511821416477,0.6388235294117647,0.5165000000000001,0.75,0.014962152104430011,0.6094977112870819,0.6681493475364475,0.7617647058823529,0.6095,0.9035,0.019507856476223846,0.7235293071889541,0.8000001045757517,0.8552941176470588,0.643,1.0,0.022819274829938976
percent,percent,0.5,2.0,2.0,100,34,0.7822650193628727,0.7155732372425553,0.8419417965367965,0.007061109666121871,0.7684252444172739,0.7961047943084716,0.6385294117647058,0.553,0.7735,0.01529183360841584,0.6085574178922107,0.6685014056372008,0.6932352941176471,0.546,0.8434999999999999,0.017097682245778928,0.6597238369159204,0.7267467513193737,0.7341176470588235,0.599,0.86,0.015022963094978563
percent,percent,0.5,2.0,5.0,100,34,0.7822650193628727,0.7155732372425553,0.8419417965367965,0.007061109666121871,0.7684252444172739,0.7961047943084716,0.6385294117647058,0.553,0.7735,0.01529183360841584,0.6085574178922107,0.6685014056372008,0.7441176470588234,0.6065,0.86,0.016670696797002782,0.711443081336698,0.7767922127809489,0.8661764705882353,0.6619999999999999,1.0,0.021160681874092185
percent,percent,0.5,2.0,10.0,100,34,0.7822650193628727,0.7155732372425553,0.8419417965367965,0.007061109666121871,0.7684252444172739,0.7961047943084716,0.6385294117647058,0.553,0.7735,0.01529183360841584,0.6085574178922107,0.6685014056372008,0.7591176470588237,0.6295000000000001,0.9035,0.018652989576261412,0.7225577874893513,0.7956775066282961,0.8608823529411764,0.6465000000000001,1.0,0.022036946965523323
percent,percent_cap,0.5,2.0,2.0,100,34,0.7818762139045861,0.7130173643542205,0.8335041424663302,0.0069940858724654425,0.7681678055945538,0.7955846222146183,0.6485294117647058,0.5525,0.7705,0.01491914965835045,0.619287878434339,0.6777709450950726,0.6961764705882354,0.5655,0.8374999999999999,0.018160994484523043,0.6605809213985703,0.7317720197779005,0.7338235294117647,0.5965,0.8734999999999999,0.015287003007182142
percent,percent_cap,0.5,2.0,5.0,100,34,0.7818762139045861,0.7130173643542205,0.8335041424663302,0.0069940858724654425,0.7681678055945538,0.7955846222146183,0.6485294117647058,0.5525,0.7705,0.01491914965835045,0.619287878434339,0.6777709450950726,0.7435294117647059,0.613,0.8839999999999999,0.017674188890022802,0.7088880015402612,0.7781708219891506,0.853529411764706,0.6759999999999999,0.9934999999999999,0.019143339379324862
percent,percent_cap,0.5,2.0,10.0,100,34,0.7818762139045861,0.7130173643542205,0.8335041424663302,0.0069940858724654425,0.7681678055945538,0.7955846222146183,0.6485294117647058,0.5525,0.7705,0.01491914965835045,0.619287878434339,0.6777709450950726,0.7638235294117648,0.603,0.88,0.01924705073349463,0.7260993099741153,0.8015477488494143,0.848529411764706,0.633,0.9934999999999999,0.021245246308771105
percent,percent_judge_save,0.5,2.0,2.0,100,34,0.7989754830450463,0.7215622868293322,0.8527058529279362,0.007460402357351523,0.7843530944246373,0.8135978716654553,0.6264705882352941,0.4365,0.7535,0.02116960673075785,0.5849781590430088,0.6679630174275795,0.6585294117647059,0.426,0.86,0.023255784755377422,0.6129480736441661,0.7041107498852457,0.7064705882352941,0.532,0.86,0.019406902648271742
percent,percent_judge_save,0.5,2.0,5.0,100,34,0.7989754830450463,0.7215622868293322,0.8527058529279362,0.007460402357351523,0.7843530944246373,0.8135978716654553,0.6264705882352941,0.4365,0.7535,0.02116960673075785,0.5849781590430088,0.6679630174275795,0.7038235294117646,0.5,0.88,0.02256439818916272,0.6595973089610057,0.7480497498625236,0.8320588235294117,0.5325000000000001,1.0,0.02804624209233262
percent,percent_judge_save,0.5,2.0,10.0,100,34,0.7989754830450463,0.7215622868293322,0.8527058529279362,0.007460402357351523,0.7843530944246373,0.8135978716654553,0.6264705882352941,0.4365,0.7535,0.02116960673075785,0.5849781590430088,0.6679630174275795,0.7299999999999999,0.5025000000000001,0.897,0.02579508257391865,0.6794416381551194,0.7805583618448804,0.8385294117647059,0.5265000000000001,1.0,0.027355624425153397
percent,percent_log,0.5,2.0,2.0,100,34,0.7407548174487179,0.6674961265933143,0.823146928611512,0.008628163768656546,0.723843616462151,0.7576660184352847,0.6988235294117646,0.6065,0.77,0.012480841982335391,0.6743610791263872,0.723285979697142,0.7355882352941175,0.5955,0.8404999999999999,0.015444359233988127,0.7053172911955008,0.7658591793927343,0.7535294117647059,0.6395000000000001,0.87,0.01260168871447544
percent,percent_log,0.5,2.0,5.0,100,34,0.7407548174487179,0.6674961265933143,0.823146928611512,0.008628163768656546,0.723843616462151,0.7576660184352847,0.6988235294117646,0.6065,0.77,0.012480841982335391,0.6743610791263872,0.723285979697142,0.7685294117647059,0.653,0.87,0.01543448288839265,0.7382778253034563,0.7987809982259555,0.8279411764705882,0.713,0.9534999999999999,0.014001396745735702
percent,percent_log,0.5,2.0,10.0,100,34,0.7407548174487179,0.6674961265933143,0.823146928611512,0.008628163768656546,0.723843616462151,0.7576660184352847,0.6988235294117646,0.6065,0.77,0.012480841982335391,0.6743610791263872,0.723285979697142,0.7826470588235294,0.6665000000000001,0.9039999999999999,0.015509848146758024,0.7522477564558836,0.8130463611911751,0.8291176470588235,0.693,0.9534999999999999,0.01396690541569806
percent,percent_sqrt,0.5,2.0,2.0,100,34,0.7686361261003748,0.6925433539762708,0.8349417112594197,0.008208984807038144,0.75254651587858,0.7847257363221696,0.6620588235294117,0.5395000000000001,0.7839999999999999,0.015342902619608821,0.6319867343949784,0.692130912663845,0.71,0.546,0.8205,0.017726319329747574,0.6752564141136947,0.7447435858863052,0.7452941176470588,0.629,0.847,0.013123812528356156
percent,percent_sqrt,0.5,2.0,5.0,100,34,0.7686361261003748,0.6925433539762708,0.8349417112594197,0.008208984807038144,0.75254651587858,0.7847257363221696,0.6620588235294117,0.5395000000000001,0.7839999999999999,0.015342902619608821,0.6319867343949784,0.692130912663845,0.741470588235294,0.6295000000000001,0.8534999999999999,0.01699139896154644,0.708167446270663,0.774773730199925,0.8382352941176472,0.6565000000000001,0.99,0.01872243351221956
percent,percent_sqrt,0.5,2.0,10.0,100,34,0.7686361261003748,0.6925433539762708,0.8349417112594197,0.008208984807038144,0.75254651587858,0.7847257363221696,0.6620588235294117,0.5395000000000001,0.7839999999999999,0.015342902619608821,0.6319867343949784,0.692130912663845,0.7608823529411765,0.6295000000000001,0.8634999999999999,0.018325858285264028,0.7249636707020589,0.796801035180294,0.835,0.653,0.99,0.019385616808279098
percent,rank,0.5,2.0,2.0,100,34,0.8489523928955691,0.7596332828282829,0.9531816666666667,0.010400984411981883,0.8285664634480846,0.8693383223430536,0.39323529411764707,0.10250000000000001,0.667,0.029715585415183304,0.3349927467038878,0.45147784153140635,0.43970588235294117,0.17600000000000002,0.7575,0.03378711633694037,0.37348313433253805,0.5059286303733443,0.5135294117647059,0.202,0.8179999999999998,0.03338289280033367
percent,rank,0.5,2.0,5.0,100,34,0.8489523928955691,0.7596332828282829,0.9531816666666667,0.010400984411981883,0.8285664634480846,0.8693383223430536,0.39323529411764707,0.10250000000000001,0.667,0.029715585415183304,0.3349927467038878,0.45147784153140635,0.4555882352941176,0.18600000000000003,0.7709999999999999,0.035629426597057465,0.385754559163885,0.5254219114243502,0.5355882352941176,0.3025,0.8044999999999999,0.030600616238335467
percent,rank,0.5,2.0,10.0,100,34,0.8489523928955691,0.7596332828282829,0.9531816666666667,0.010400984411981883,0.8285664634480846,0.8693383223430536,0.39323529411764707,0.10250000000000001,0.667,0.029715585415183304,0.3349927467038878,0.45147784153140635,0.46029411764705885,0.193,0.7805,0.035898312908345886,0.3899334243467009,0.5306548109474167,0.5417647058823529,0.3025,0.8105,0.030258749234085707
